Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
26;940.599243164063;599.294913768768;8;175.1888;True;2760;57.74951;898.3488;45.78362;2.410018E+07
27;947.64892578125;748.05269254446;8;175.1888;True;2760;57.43872;905.0876;41.24133;1.775794E+07
28;955.475280761719;794.29269888401;8;175.1888;True;2760;56.23901;911.7143;48.57344;1.800842E+07
29;941.861694335938;775.3914478302;8;193.0716;True;2760;66.02783;907.8895;33.89918;3886339
30;942.386596679688;760.490374565125;8;179.0713;True;2760;66.05005;908.4366;36.88243;6128782
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;530.755249023438;72.8405880264938;8;362.3004;False;2190.824;90.91737;621.6726;1.728519;55765.13
2;805.926940917969;189.264549121633;8;355.7209;True;2760;122.1553;828.0823;29.17322;5776083
3;835.569274902344;423.039343082905;8;355.7209;True;2760;117.0466;852.6158;35.97302;6731074
4;889.5302734375;612.56840583086;8;341.3261;True;2760;90.21674;879.747;32.28563;8403534
5;861.229248046875;610.275698852539;8;355.7209;True;2760;111.5857;872.8149;36.24905;1.248031E+07
6;909.357971191406;659.637049865723;8;379.4673;True;2760;83.78845;893.1464;24.43151;3907617
7;916.084350585938;745.070495605469;8;357.4613;True;2760;82.44684;898.5312;27.14512;1249439
8;910.167541503906;759.359323120117;8;362.6395;True;2760;96.19788;906.3654;27.06686;1.765436E+07
9;907.170104980469;631.821394439042;8;370.3949;True;2760;86.11377;893.2839;21.01613;6672310
10;927.306274414063;662.842158102989;8;323.8701;True;2760;77.92139;905.2277;28.87873;4613874
11;930.231994628906;684.860555720329;8;374.406;True;2760;78.08325;908.3152;30.77381;9678693
12;921.727783203125;711.040458607674;8;374.406;True;2760;82.9231;904.6509;13.93248;1897348
13;916.039611816406;670.162721014023;8;302.9306;True;2760;85.22119;901.2608;26.14049;7518693
14;937.786804199219;741.836102294922;8;344.8188;True;2760;74.13306;911.9199;32.25748;9793525
15;940.338073730469;629.575573803484;9;353.8188;True;2760;63.79871;904.1368;25.09608;1.166869E+07
16;937.516296386719;781.769475960731;9;353.8188;True;2760;71.63965;909.1559;26.11867;2102699
17;941.170288085938;796.279750061035;9;353.8188;True;2760;65.89038;907.0607;29.10301;2795541
18;940.724609375;867.923460388184;9;346.5305;True;2760;62.90796;903.6326;39.68065;9660909
19;932.451538085938;818.674123716354;9;346.5305;True;2760;72.55347;905.005;25.23677;3153158
20;935.228698730469;697.107368826866;9;356.5004;True;2760;74.35913;909.5878;38.14484;1.12844E+07
21;943.135131835938;773.496347740293;9;316.6739;True;2760;59.84082;902.976;52.14729;6274141
22;942.447143554688;649.91970433034;9;316.6739;True;2760;65.50781;907.955;31.44414;5270869
23;938.775451660156;728.507273960113;9;316.6739;True;2760;62.83618;901.6116;55.67733;1.13098E+07
24;935.438293457031;805.190018701553;9;366.2363;True;2760;60.91943;896.3577;43.42962;1.279212E+07
25;935.715942382813;800.827137756348;9;316.6739;True;2760;66.41602;902.132;32.86079;7055388
26;937.896484375;797.162280058861;9;316.6739;True;2760;63.94946;901.8459;36.40956;1.369487E+07
27;930.798400878906;763.929457301646;9;353.8188;True;2760;75.33228;906.1307;33.116;8047096
28;929.738891601563;769.317523860931;9;316.6739;True;2760;66.92114;896.66;43.30851;561925.6
29;941.578002929688;769.002782386541;9;306.2722;True;2760;60.56445;902.1425;35.42632;4798509
30;930.951904296875;790.685950034857;9;286.8367;True;2760;61.24976;892.2017;43.30511;8363571
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;416.559997558594;97.3589824728668;9;328.6967;False;1656.197;67.06253;483.6225;10.9828;19269.04
2;542.040283203125;202.832739527524;9;318.3347;False;1873.366;76.17868;618.2189;8.469456;13164.64
3;541.05029296875;266.862563735247;9;318.3347;False;1885.484;74.50888;615.5592;5.874051;16716.22
4;803.200805664063;407.595753151178;9;318.3347;True;2760;140.3386;843.5394;23.72633;1982781
5;908.070068359375;524.127587890625;9;303.1647;True;2760;99.13354;907.2036;27.57643;4311033
6;870.027587890625;454.494171986543;9;361.9239;True;2760;110.5597;880.5873;26.15214;1174750
7;868.968078613281;476.362663532677;9;287.4406;True;2760;98.18628;867.1544;34.08511;3953843
