Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
5;30383,8046875;11130,4238253117;7;316,273;True;2760;106,3169;799,1143;35,75448;2846830
6;31158,509765625;9774,59790267944;8;322,413;True;2760;113,6199;790,2685;29,86373;2201242
7;32286,353515625;10561,8552207649;7;311,7614;True;2760;125,6746;800,3159;33,42202;1261372
8;27334,755859375;10267,8865026712;7;311,7614;True;2760;115,9164;791,7448;15,72971;5387704
9;32362,958984375;11758,9618118286;8;325,273;True;2760;115,6665;770,8811;22,38337;1197533
10;29056,43359375;11030,1919921875;7;316,273;True;2760;108,7135;763,0712;16,0896;3952972
11;30032,943359375;12579,254425621;7;316,273;True;2760;107,4724;796,9166;24,64111;3139215
12;30889,671875;14203,4791748047;7;310,2043;True;2760;118,1104;774,9941;7,630252;2425274
13;29964,359375;12008,6624023438;7;315,7007;True;2760;128,0961;802,5649;14,53283;3196367
14;32133,671875;14036,4329465151;7;316,273;True;2760;96,84814;784,4704;28,97166;1388607
15;30963,755859375;14557,4205505371;7;315,4485;True;2760;101,1875;808,7917;29,9347;2363536
16;32902,66796875;16354,9535400391;7;316,273;True;2760;103,29;826,0784;27,49732;747777,1
17;32724,767578125;21369,4480817795;7;316,273;True;2760;106,7556;863,8784;5,503187;896026,4
18;32706,62890625;15706,823469162;7;328,8209;True;2760;79,10107;876,9534;31,32533;911142,7
19;33281,375;22273,2977050781;8;332,002;True;2760;115,978;873,5112;38,81389;432188,2
20;32338,79296875;20925,1486816406;8;318,3674;True;2760;105,7417;856,2654;29,46268;1217672
21;31600,46484375;21053,176171875;8;318,3674;True;2760;86,74487;911,9377;26,63933;1832945
22;33724,234375;18789,4301548131;8;332,002;True;2760;101,5408;849,8649;28,9231;63137
23;31646,533203125;25886,3831054688;8;318,3674;True;2760;97,06128;903,9456;22,93542;1794556
24;31429,94140625;21844,9060546875;9;340,8511;True;2760;83,77856;881,4356;29,98203;1975048
25;33069,78125;20394,2800495625;9;327,1332;True;2760;122,127;869,2751;24,64349;608514
26;33723,74609375;16772,5774019003;9;340,8511;True;2760;89,6731;857,2761;32,61389;63543,83
27;31684,64453125;17749,6884573102;8;332,002;True;2760;85,91479;891,293;28,80785;1762796
28;33731,42578125;21097,4277587891;9;340,8511;True;2760;110,4229;894,6176;24,08953;57145,69
29;31224,427734375;20454,8298695564;8;318,3674;True;2760;96,44946;872,532;32,16107;2146311
30;33720,19921875;18879,1887695313;8;310,9985;True;2760;84,0376;873,8038;34,35366;66499,74
#
